Date,Joke,Comedian,jokeID
1/7/16,"North Korea announced last night that they successfully tested a miniaturized hydrogen bomb. The announcement was made by a miniaturized dictator. To him, it looked like a great big regular-sized bomb.",Seth Meyers,42376-7
1/7/16,"Donald Trump said today that Hillary Clinton doesn't have the stamina to take on the country's enemies, which is a ridiculous thing to say about someone who has been running for president for 68 years.",Seth Meyers,42376-8
1/7/16,"Following the success of the Netflix show 'Making a Murderer,' a new petition seeking a presidential pardon for Wisconsin inmate Steve Avery has now reached 200,000 signatures. Said President Obama, 'Thanks a lot, I was still on episode three.'",Seth Meyers,42376-9
1/7/16,"The former campaign manager for Dr. Ben Carson said today that it is becoming harder to see how Donald Trump will not win the Republican nomination. While Ben Carson said it's becoming harder to see, period.",Seth Meyers,42376-10
1/8/16,"Our current president, the one named Obama, is gearing up for what will be his final State of the Union address on Tuesday night. His aides have been describing the speech that he plans to give as non-traditional. Which probably means he's going to do that 'Watch Me Whip, Watch Me Nae Nae' dance, right? ",Jimmy Kimmel,42377-1
1/8/16,"The big story is Donald Trump questioning whether his opponent Ted Cruz is actually a US citizen. Because, in 1970, Cruz was born to a Canadian-Cuban father and an American mother, and I'm going to guess a crock of Dippity-do.",Stephen Colbert,42377-2
1/8/16,"But Cruz has dismissed these questions, saying that any child born abroad to an American citizen is an American citizen. In fact, Cruz has even mocked the ridiculousness, the extremity of Trump's allegations, by posting this video on Twitter of Fonzie from 'Happy Days' jumping the shark. Which I say proves Cruz is an American, because if he were a Canadian, he would have released a video of Celine Dion jumping a Tim Hortons.",Stephen Colbert,42377-3
1/8/16,"Donald Trump said that he thinks the media is starting to like him. And the media was like, 'Like you? Have you seen our ratings? We love you.' ... Then cable news said, 'Yeah, but we also like natural disasters.'",Jimmy Fallon,42377-4
1/8/16,"Meanwhile, Donald Trump's wife, Melania, gave an interview, and she said she remembers her first date with Donald like it was two months ago. Then it got awkward when she was like, 'But the marks on my wall clearly show it's been 17 years, two months and six days.'",Jimmy Fallon,42377-5
1/8/16,"Of course, we're just now a few days away from President Obama's final State of the Union address. ... Which means Joe Biden only has a few days left to decide what weird things he's going to do in the background.",Jimmy Fallon,42377-6
1/8/16,"Vice President Joe Biden, in a new interview, said that he wakes up every day regretting that he didn't enter the 2016 race. And every day, Hillary Clinton holds the rag over his nose, and he goes back to sleep.",Seth Meyers,42377-7
1/8/16,"Jeb Bush, in a new interview this week, spontaneously announced that he loves his mother more than his father. And then he ended the interview by running up to his room and slamming the door.",Seth Meyers,42377-8
1/11/16,"At a rally last night in Vermont, Donald Trump refused to let anyone in that wasn't a Trump supporter. But several protesters got in anyway. So keep that in mind next time you listen to the guy whose biggest campaign promise is keeping people from sneaking in. ",Jimmy Fallon,42380-1
1/11/16,"And this week in Las Vegas, Hillary Clinton, Bernie Sanders, and Martin O'Malley shared the stage at a DNC fund-raiser. Yeah, I think the three of them might have had a little too much fun in Vegas. 'Hangover 4?'",Jimmy Fallon,42380-2
1/11/16,"I heard an autograph expert has said that Hillary Clinton's autograph is the most valuable of all the candidates. For instance, a Hillary Clinton-signed hat is worth about 1,500 dollars, while a Jeb Bush-signed hat is worth whatever the hat cost originally minus a few bucks for the Jeb Bush signature.",Jimmy Fallon,42380-3
1/12/16,"You guys, we have Donald Trump on the show tonight. I'm not saying security is tight, but the Secret Service just built a giant wall around the building. And we had to pay for it. ",Jimmy Fallon,42381-1
1/12/16,"It seems like every day, we are learning something new about Trump. In fact, I just read right after giving a speech, no matter where he is, Trump likes to fly back that night to sleep here in New York. Although sometimes when he's really tired, he'll just buy a hotel.",Jimmy Fallon,42381-2
1/12/16,"Over the weekend, Bernie Sanders said that if he's elected, he plans to spend $1 trillion to fight unemployment. When asked what they would do with that kind of money, unemployed people said, 'Retire.'",Jimmy Fallon,42381-3
1/12/16,"Former New York City Mayor Michael Bloomberg reportedly commissioned a poll to see how he'd do if he ran for president as an independent candidate. He'd be a billionaire New Yorker running an unexpected campaign for president. Or as one guy called it, 'Total pipe dream.'",Jimmy Fallon,42381-4
1/12/16,"I read the Republican candidates aired a dozen new TV ads last week, even though recent data has shown TV ads are mostly ineffective. Chris Christie was like, 'If TV ads aren't effective, then why do I keep going to Wendy's for their Gouda bacon-cheeseburger, here only for a limited time?'",Jimmy Fallon,42381-5
1/12/16,"Donald Trump, in a new interview, continued to question Ted Cruz's eligibility for president and said if you're born in Canada, it's immediately a little bit of a problem. Apparently Trump believes that if you weren't born in the US, the highest office you can hope for is wife.",Seth Meyers,42381-6
1/12/16,"The White House revealed over the weekend that President Obama privately met with Bernie Sanders, and when she heard this, Hillary Clinton fake-smiled so hard, her ears touched in the back.",Seth Meyers,42381-7
1/12/16,"Justin Bieber and his entourage were in Mexico [and were] reportedly asked to leave the Mayan ruins after Justin climbed to the top of an ancient pyramid and pulled his pants down to moon everyone. If ever there was a time for the gods to send a well-placed lightning bolt, seems like that would have been it. It really is a shame Donald Trump didn't build that wall before Justin got back into the United States.",Jimmy Kimmel,42381-8
1/12/16,"Things are looking up for Jeb Bush. No wait, they aren't. Things are looking down for Jeb Bush. A new Gallup poll [shows] Jeb Bush is the least-liked candidate among the Republican field. At least he's leading the field. Right? His name identification among voters is at 89 percent, which is very high. Which means people know who he [is], they just don't like him. And his favorability rating is negative one. I don't know how that's even possible. Zero means nobody likes you - negative one, does that mean dead people have a negative opinion of you?",Jimmy Kimmel,42381-9
1/13/16,"Tonight, President Obama gave his final State of the Union address. And a lot of people said it had a more optimistic tone. Instead of seeing the glass half empty, Obama sees the presidency as seven-eighths over. ",Jimmy Fallon,42382-1
1/13/16,"Tonight was Paul Ryan's first State of the Union as Speaker of the House. But get this, did you hear this, Ben Carson recently said that several Republican congressmen actually tried to recruit him for the job. Ben Carson. Of course, they'd have to call him Whisperer of the House.",Jimmy Fallon,42382-2
1/13/16,"Some more news out of Washington. I saw that the White House joined Snapchat yesterday. It's a great platform for the White House, because moments after you make a promise, it magically disappears.",Jimmy Fallon,42382-3
1/13/16,"I saw that Ben & Jerry's ice cream wants to make a flavor inspired by Bernie Sanders. Whatever flavor it winds up being, we know Bernie will hate it for being too rich.",Jimmy Fallon,42382-4
1/13/16,"Seems like a lot of people are getting behind Sanders. In fact, Tommy Chong of 'Cheech and Chong' announced that he is supporting Bernie Sanders for president. People were like, 'Why?' And Tommy Chong is like, 'Why what, man?'",Jimmy Fallon,42382-5
1/13/16,"Marco Rubio's campaign said that it expects to lose the first four states in the primary elections, but he thinks that he can win the nomination anyway. Which is sort of like not getting a rose on 'The Bachelor' and being like, 'Call me?'",Jimmy Fallon,42382-6
1/13/16,"There have been about 1,000 fundraising committees known as super PACs created in this election cycle, and over half of them were made by one man who apparently just does it for fun. People are like, 'Who would mess with an election just for fun?' And [Donald] Trump was like, 'You rang?'",Jimmy Fallon,42382-7
1/13/16,"President Obama tonight delivered his final State of the Union address. Now we taped this show early, but I'm guessing he was interrupted dozens of times by applause, and twice when Hillary Clinton tried to tag in.",Seth Meyers,42382-8
1/13/16,"In the lead-up to tonight's State of the Union address, House Speaker Paul Ryan accused Obama of plotting to set verbal traps for Republicans. Responded Obama, 'Loser says what?'",Seth Meyers,42382-9
1/13/16,"A noted Republican strategist published a new article for CNN, claiming that the candidates having the most fun on the campaign trail usually fare the best in elections. While the candidates having the least fun try to hide it but putting an exclamation point at the end of their logo.",Seth Meyers,42382-10
1/13/16,"Vice President Joe Biden said this morning that Donald Trump is running a divisive campaign. But most Trump supporters are okay with division, provided it's not long division.",Seth Meyers,42382-11
1/14/16,"Well, President Obama gave his final State of the Union address last night. It was the President's shortest State of the Union address, clocking in at 58:49. ... My last one would have been much shorter than that. Mine would have been however long it takes to say, 'You're on your own, suckers,' and that would be it.",Jimmy Kimmel,42383-1
1/14/16,"You know, these speeches aren't easy to make for a president. Half the audience is against you. The Democrats clap and the Republicans don't. Over and over again. If you're a Republican, you don't want to get caught agreeing with anything Obama says, because it could ruin your political career. So instead, you have to sit there and make a face like you're witnessing your family getting eaten by coyotes through the whole thing.",Jimmy Kimmel,42383-2
1/14/16,"If you check your calendars, the presidential election is now nine months away, which explains why we're all experiencing morning sickness, I think.",Stephen Colbert,42383-3
1/14/16,"Tonightly, President Obama says in his final State of the Union that anyone claiming America's economy is in decline is 'peddling fiction.' America's like, 'Who cares? We can't read!'",Larry Wilmore,42383-4
1/14/16,"The big story is that President Obama gave his final State of the Union address last night. ... He started by saying he would give a shorter speech, and maybe it's just me, but that seemed to get the most applause of the night.",Jimmy Fallon,42383-5
1/14/16,"Obama said he would give a shorter speech, and then wound up speaking for 59 minutes. Not surprising, Obama saying he's going to keep it short is like Donald Trump saying, 'Enough about me.'",Jimmy Fallon,42383-6
1/14/16,"During his speech, President Obama criticized companies for not being loyal enough to their employees. ... Employees would agree, but they were busy buying Powerball tickets so they could quit their job.",Jimmy Fallon,42383-7
1/14/16,"At one point, while Obama was talking about the economy, Joe Biden leaned over to House Speaker Paul Ryan and whispered something that they both laughed about. Biden said it was a private joke between two statesmen, while Ryan said, 'He just whispered the word 'boobs.""",Jimmy Fallon,42383-8
1/14/16,"New polls found that Bernie Sanders is now ahead of Hillary Clinton among Democrats in both Iowa and New Hampshire. And even Hillary's lead in national polls is dwindling. I don't want to say Hillary is upset, but this morning she was spotted shouting into a volcano, 'You said we had a deal!'",Jimmy Fallon,42383-9
1/14/16,"Bernie is really picking up some momentum. In fact, yesterday he received an endorsement from the progressive website, MoveOn.org. As opposed to Jeb Bush, who was endorsed by the website, NoSeriouslyMoveOn.org.",Jimmy Fallon,42383-10
1/14/16,"President Obama's State of the Union address last night was focused on the wage gap, the rise of ISIS, Russia, and the danger of climate change. And House Speaker Paul Ryan, on the other hand, was focused mostly on trying to start a fire with his mind.",Seth Meyers,42383-11
1/14/16,"President Obama said last night that he treated his last State of the Union address just like his first, because he's just as hungry. Probably because he's only been allowed to eat kale for the last seven years.",Seth Meyers,42383-12
1/14/16,"In his final State of the Union address, President Obama said the United States should not be the world's policeman. ? He said, 'At most we should be its high school dropout security guard. That should be our role.'",Conan O'Brien,42383-13
1/14/16,"While commenting on State of the Union, Donald Trump said President Obama is, quote, 'living in fantasy land.' Trump then went to sleep in his solid gold bed with his supermodel wife.",Conan O'Brien,42383-14
1/14/16,"Jeb Bush getting irritated these days, arguing with Trump. When asked if he would apologize to Donald Trump for calling him a jerk, Jeb Bush said, 'I don't apologize for it because he is a jerk.' Kind of reminds you of the great Lincoln-Douglas debates, doesn't it?",Conan O'Brien,42383-15
1/14/16,"Hillary Clinton bought a Powerball ticket, and she said if she wins, she'll use the money to fund her campaign. Meanwhile, Bill Clinton said if he wins, Hillary will never see him again.",Conan O'Brien,42383-16
1/15/16,"From Charleston, South Carolina, the first Republican debate of the New Year. They whittled the group of debaters down to seven now. They're Donald Trump, Ted Cruz, Marco Rubio, Ben Carson, Chris Christie, Jeb Bush, and John Kasich, which I don't know how John Kasich made it. John Kasich doesn't have enough support to get voted prom king at a small-town high school, but somehow he made the main debate. ",Jimmy Kimmel,42384-1
1/15/16,"Now, if you're like me, you taped your TV show earlier tonight, and right now you're at home on the couch with a cocktail made of equal parts Bourbon and Mucinex - I call it 'The Cold Fashioned' - and you just finished watching tonight's Republican debate. I bet tonight was the best one yet. Because we are just 19 days away from the first official vote at the Iowa caucuses, and winning Iowa is crucial for winning the Republican nomination. Just ask the guy who won Iowa in 2012, President Rick Santorum.",Stephen Colbert,42384-2
1/15/16,"Ladies and gentlemen, there was huge news in the race for the Republican nomination today, because Ted Cruz just received an endorsement from America's most respected political dynasty, the 'Duck Dynasty.'",James Corden,42384-3
1/15/16,"[Referring to Hillary Clinton, who appeared Thursday on Fallon's program] ""Of course, we're going to talk with her about the election, and things seem to be changing all the time. In fact, a new national poll found that Jeb Bush has actually passed Marco Rubio for third place among Republicans, which means Rubio now has the same feeling as when you're running a marathon and get passed by the guy dressed as the Statue of Liberty and you go, 'Come on, even that guy, too? He's a novelty runner.'""",Jimmy Fallon,42384-4
1/15/16,"A new poll shows that in the last month, Hillary Clinton's lead in Iowa has shrunk from nine percent to two percent. Meanwhile, her fake smile has grown 200 percent.",Seth Meyers,42384-5
1/15/16,"Jeb Bush has released a new ad showing clips of mean things Donald Trump has said on the campaign trail. He also released his new campaign slogan, 'I'm telling! You're mean, and I'm telling everybody!'",Seth Meyers,42384-6
1/15/16,"There's a new video out showing Jeb Bush interacting with an Apple watch for the first time. And the former governor seemed shocked the watch can talk. To which the watch replied, 'I felt the same way about you!'",Seth Meyers,42384-7
1/19/16,"Actually, I just read that Michelle Obama is a big fan of the trendy spin class SoulCycle. ... And she sneaks out of the White House to attend private classes. She spends 45 minutes pedaling without getting anywhere. Then Barack was like, 'Try doing that for seven years.' ",Jimmy Fallon,42388-1
1/19/16,"According to a new report, the most Googled question about Bernie Sanders during last night's Democratic debate was, 'Why is Bernie Sanders so popular?' Though that may have been because one person Googled it a bunch of times.",Seth Meyers,42388-2
1/19/16,"During last night's Democratic debate, Bernie Sanders got the most speaking time, as well as the most speaking volume. Bernie Sanders talks like he always has a bad connection.",Seth Meyers,42388-3
1/19/16,"Chris Christie said in a new interview that if elected president, he would not let the government influence what is served in school cafeterias. Or for that matter, who.",Seth Meyers,42388-4
1/19/16,South Carolina Sen. Lindsey Graham on Friday endorsed Jeb Bush for president. Though I imagine getting an endorsement from Lindsey Graham is about as helpful as being backed up in a bar fight by Lindsey Graham.,Seth Meyers,42388-5
1/19/16,"So, Republicans have been complaining for months that the Obama Administration wasn't doing enough to secure the release of the prisoners [held in Iran.] Ted Cruz called it a disgrace for this Administration to abandon Americans, and Jeb Bush said it was appalling there's been no effort to try to support the Americans held hostage by the Iranian government. And Jeb knows no effort when he sees it, because that's his campaign strategy!",Seth Meyers,42388-6
1/20/16,"This morning, Twitter went down for almost three hours. It wasn't good. In fact, I heard Donald Trump actually had to fax his insults to people. ",Jimmy Fallon,42389-1
1/20/16,"Of course, Donald Trump continues to lead in the polls, but he recently said that if he loses the election, he'll go back to building skyscrapers. When asked where he'd build them, he said, 'Right in front of the White House.'",Jimmy Fallon,42389-2
1/20/16,"In a new interview in 'Time' magazine, Democratic candidate Bernie Sanders said that he's never worn a tuxedo in his life. When asked what he got married in, Bernie said, '1879.'",Jimmy Fallon,42389-3
1/20/16,"Listen to this, [during] a recent town hall meeting, Chris Christie admitted that he's got a little bit of a crush on Adele. Which explains Adele's new song, 'Hell No.'",Jimmy Fallon,42389-4
1/20/16,"Donald Trump said in a new interview that he has a very good relationship with God. Said Trump, 'I have a great, great relationship with all my employees.'",Seth Meyers,42389-5
1/20/16,"Sarah Palin appeared in Iowa today to endorse Donald Trump for president. Though I think she just likes him because Trump sounds like a name she would give one of her kids. Bristol, Willow, Track, Trump.",Seth Meyers,42389-6
1/20/16,"According to a recent poll, Hillary Clinton has a better chance than Bernie Sanders at beating Donald Trump, while Martin O'Malley still has a good chance at beating traffic.",Seth Meyers,42389-7
1/20/16,"Donald Trump got a major endorsement today from none other than Sarah Palin. She agreed to endorse him, and he agreed to let her shoot that fuzzy animal off of his head.",Jimmy Kimmel,42389-8
1/21/16,"According to a new report, emails on the private server Hillary used when she was secretary of state did indeed have classified information on them. This was described as above top secret stuff, which I didn't know there was an above top secret. You think top would be top. But I guess it's like 'America's Top Model,' they're not really top.",Jimmy Kimmel,42390-1
1/21/16,"But the lesson here I think is the secretary of state needed a better secretary because, you know, if you told me a Clinton was going to have a scandal involving email, Hillary would not have been my first guest as to who it would have been.",Jimmy Kimmel,42390-2
1/21/16,"Meanwhile, Bernie Sanders is having a very good week. He doesn't even know how to use email, so that's not a problem",Jimmy Kimmel,42390-3
1/21/16,"He's now leading Hillary Clinton in New Hampshire by 27 points. Bernie is very well-liked among Democratic voters. Among those likely to vote in the primary, his favorability rating is 91 percent. That is incredibly high, as are many of his supporters.",Jimmy Kimmel,42390-4
1/21/16,"That means there's a chance, a slim chance, but it could be Bernie Sanders versus Donald Trump in the general election. The old yellers, if you will. Can you imagine that, Sanders versus Trump? Look at these guys. Every debate would look like a commercial for the Flowbee.",Jimmy Kimmel,42390-5
1/21/16,"Happy Hump Day, first of all. I love Hump Day. It's a nice reminder that no matter how bad things get, the end is in sight. Unless you're talking about Donald Trump. Because nothing, but nothing will ever stop this guy.",Stephen Colbert,42390-6
1/21/16,"The Iowa caucuses are a mere two weeks away, and there was a huge development yesterday, because Donald Trump received a critical endorsement from former governor of Alaska Sarah Palin. ? I mean, you just know that John McCain is on his couch at home watching the TV like, 'Donald, dude, this is a bad idea.'",James Corden,42390-7
1/21/16,"One person who is not getting such a ringing endorsement is Ted Cruz, whose old college roommate, Craig Mazin, has taken to Twitter to inform the world that Ted Cruz is the worst. Now, Craig Mazin wrote the movies 'The Hangover 2' and '3,' and if there is anyone on earth who can identify something as the worst, it is the guy who wrote 'The Hangover 3.'",James Corden,42390-8
1/21/16,"You know when I first got the job to host 'The Daily Show,' people told me, 'Trevor, this is going to be hard. You'll have to study every day, because there's a presidential election going on and you can't be involved in the American political process and know nothing about it.' In fact, their exact words were, 'As an outsider, I don't know if you'll survive.' But it turns out it wasn't true. See, it turns out a lot of the presidential candidates are in the same position as I am. I feel like every day I read something in the news and I go, 'Huh, I didn't know that about the government.' And at the same time, Donald Trump is reading the same newspaper going, 'Huh, neither did I.'",Trevor Noah,42390-9
1/21/16,"The cover of today's 'New York Daily News' features Trump, Palin, and the headline, 'I'm With Stupid'. But hold on, guys. I'm confused. Which one isn't stupid?",Larry Wilmore,42390-10
1/21/16,"Obviously, the big story is that, yesterday in Iowa, Sarah Palin gave a 20-minute speech to endorse Donald Trump for president, while Trump stood off to the side. Palin described Trump as a great leader, while Trump described being quiet for 20 minutes the most painful experience of his life.",Jimmy Fallon,42390-11
1/21/16,"At a recent town hall event in New Hampshire, Jeb Bush said he loves his mother more than his dad, while his dad says he loves winners more than people at four percent in the race for president.",Jimmy Fallon,42390-12
1/21/16,"Over on the Democratic side, Bill Clinton has begun making solo appearances to campaign for Hillary, and a lot of people are wondering if he will help or hurt the campaign. I could see both sides to the issue. ... Bill Clinton could help Hillary's chances by passing along Hillary's message. He could hurt Hillary's chances by passing along thousands of messages Hillary thought she deleted.",Jimmy Fallon,42390-13
1/21/16,Bill Clinton could help Hillary's chances by helping the party. He could hurt Hillary's chances by not realizing what kind of party it is and throwing his keys into a bowl.,Jimmy Fallon,42390-14
1/21/16,Bill Clinton could help Hillary's chances by reminding Americans of the success of his presidency. He could hurt Hillary's chances by reminding Americans of his sex-excess of his presidency.,Jimmy Fallon,42390-15
1/21/16,"Jeb Bush misspoke during a campaign event yesterday and mistakenly called Obama's daughter Malala instead of Malia. And then when he tried to say Sasha's name, it came out, 'I don't want to run for president anymore. It's harder than I thought it would be, and I don't like it.'",Seth Meyers,42390-16
1/21/16,"Sen. Lindsey Graham said this week that Donald Trump is the most unelectable Republican he's seen in his lifetime. Then he walked by a mirror and said, 'Whoops, never mind! I forgot about that fellow named me.'",Seth Meyers,42390-17
1/22/16,"Washington, DC is supposed to be hit especially hard [by this weekend's storm]. They had an inch of snow yesterday. Traffic got so bad even President Obama's motorcade got stuck. He had to glide back to the White House on Hoverboard One.",Jimmy Kimmel,42391-1
1/22/16,"Jeb Bush isn't so hot right now, but he's desperately trying to stir things up. He has a new ad in which he takes aim at Donald Trump. In the ad, Bush shows a vision of the future. It's Election Day in November. Donald Trump, in this ad, is the Republican nominee for president, and he's forced to concede defeat to Hillary Clinton. And Jeb Bush says, 'It doesn't have to be that way.' He says, 'I should be the one to concede defeat to Hillary Clinton. I'd be better at it. I'd be more polite.'",Jimmy Kimmel,42391-2
1/22/16,"Jeb tweeted today, 'If Donald Trump is the nominee, Hillary Clinton will be elected president. We can't let that happen.' Jeb is painting himself as the only candidate who can beat Hillary. Meanwhile, his brother George is at home painting portraits of his dog and not helping at all.",Jimmy Kimmel,42391-3
1/22/16,"Tonightly, Hillary Clinton's server contains dozens of highly classified messages. In response, she quickly deleted her lead over Bernie Sanders.",Larry Wilmore,42391-4
1/22/16,"A new poll shows Bernie Sanders leading Hillary Clinton in New Hampshire by 27 points. After seeing the results, Bernie was heard yelling in excitement - or talking normally. It's hard to tell sometimes. He's yelling all the time, all the time.",Larry Wilmore,42391-5
1/22/16,"Here's the latest on the election, you guys. At a Donald Trump rally in Oklahoma, Sarah Palin called President Obama a 'weak-kneed capitulator-in-chief.' When asked if she knows what a capitulator is, she said, 'Of course I do. It's one of those worms that turn into a butterfly.'",Jimmy Fallon,42391-6
1/22/16,"This week, the manager of a pizza restaurant in Iowa put up a sign that said Donald Trump could eat for free. But Trump never showed up. Shortly after, thousands of restaurants across the country put up signs saying Donald Trump could eat for free.",Jimmy Fallon,42391-7
1/22/16,"A new 'People' magazine profile on Bernie Sanders said that he still does his own grocery shopping. Grocery shopping usually takes Bernie a while, because he always stops for an hour to yell at the one-percent milk.",Jimmy Fallon,42391-8
1/22/16,"I saw that a new ad from Bernie Sanders uses music from Simon and Garfunkel. At first, people wondered how they got the rights, and then they looked at old photos and realized Bernie Sanders might be Garfunkel.",Jimmy Fallon,42391-9
1/22/16,"Donald Trump this week questioned how Ted Cruz could forget both that he was a Canadian citizen by birth and that he once accepted a $1 million loan from Goldman Sachs. I don't know. Probably the same way someone could forget that they once supported gay marriage, universal healthcare, a wealth tax, private-sector unions, an assault weapons ban and Hillary Clinton.",Seth Meyers,42391-10
1/22/16,"Donald Trump said today that he did not expect Sarah Palin to speak for, quote, 'that long' during her rambling endorsement speech earlier this week. She did speak for over 20 minutes. But remember, for Sarah Palin, that's only three sentences.",Seth Meyers,42391-11
1/22/16,"Music icon Cher said recently Donald Trump can't come up with a hairstyle that looks human, how could he come up with a plan to defeat ISIS? So if you're looking for a plan to defeat ISIS, I wouldn't count on Cher, either.",Seth Meyers,42391-12
1/25/16,"Yesterday, Lindsey Graham criticized Donald Trump and Ted Cruz and said choosing between them is like having to choose between being shot or poisoned. Graham is supporting Jeb Bush, which he said is like choosing to be slowly suffocated by an expensive pillow. ",Jimmy Fallon,42394-1
1/25/16,"Someone found lyrics to a song written about Donald Trump's father, and Donald was like, 'Big deal. Pink Floyd did an entire album about me called The Wall,"" and I made them pay for it.'""",Jimmy Fallon,42394-2
1/25/16,"In a People magazine profile, Bernie Sanders revealed he proposed to his wife in a Friendly's parking lot. A lot of the other candidates have come up with interesting stories about how they got engaged as well. Donald Trump said, 'I got down on one knee and told Melania, You're hot, I'm rich. Let's do this.""'""",Jimmy Fallon,42394-3
1/26/16,"I heard that Chris Christie left the campaign trail in New Hampshire to return home to New Jersey to deal with the snowstorm. Of course, what do you expect to happen when you tell Chris Christie there's a large 'Blizzard' waiting for him? ",Jimmy Fallon,42395-1
1/26/16,"It's been reported that former New York City Mayor Michael Bloomberg is considering running for president as an independent candidate this year. So, in addition to Bush, Rubio and Cruz, that'll make four candidates who can speak Spanish. [Fallon showed a clip of Bloomberg speaking broken Spanish.] Even immigrants are like, 'Speak English. We're fine. That's not helping us out.'",Jimmy Fallon,42395-2
1/26/16,"The latest CBS poll has Bernie Sanders beating Hillary Clinton by one percent in Iowa, though another poll has Hillary beating Bernie Sanders with a folding chair.",Seth Meyers,42395-3
1/26/16,"Hillary Clinton said yesterday that she feels great about her chances to be the Democratic nominee, and Bill Clinton said, 'Hillary, it's 3:30 in the morning. Go back to sleep.'",Seth Meyers,42395-4
